hour,total_kWh,session_count,avg_kWh,max_kWh,min_kWh,avg_session_hrs,hour_of_day,day_of_week,month,day_of_month,week_of_year,is_weekend,is_business_hours,quarter,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,kWh_lag_1h,kWh_lag_2h,kWh_lag_3h,kWh_lag_6h,kWh_lag_12h,kWh_lag_24h,kWh_lag_48h,kWh_lag_168h,kWh_rolling_mean_3h,kWh_rolling_std_3h,kWh_rolling_mean_6h,kWh_rolling_std_6h,kWh_rolling_mean_12h,kWh_rolling_std_12h,kWh_rolling_mean_24h,kWh_rolling_std_24h,kWh_rolling_mean_48h,kWh_rolling_std_48h,kWh_rolling_mean_168h,kWh_rolling_std_168h,kWh_diff_1h,kWh_diff_24h,kWh_diff_168h,kWh_expanding_mean,kWh_per_session,demand_intensity
2018-07-05 16:00:00+00:00,33.644,5.0,6.7288,19.75,1.996,9.599166666666665,16,3,7,5,27,0,1,3,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,83.173,52.010999999999996,35.472,0.0,38.016,11.943999999999999,98.536,109.258,56.8853333333333,24.221182760825982,28.44266666666665,34.71957117054683,19.89802083333333,26.789051167430873,19.51571875,20.098353009605233,18.544101041666668,23.58875862427773,21.533762743644644,23.022071284004895,-49.529,21.7,-75.614,23.484153093085784,6.7288,33.644
2018-07-05 17:00:00+00:00,46.931,7.0,6.704428571428571,13.969,2.057,4.031190476190476,17,3,7,5,27,0,1,3,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,33.644,83.173,52.010999999999996,0.0,1.077,29.034,43.929,22.471,56.27599999999996,25.03843303803176,34.04999999999998,31.801442011330245,19.533687499999996,26.548897932608767,20.419885416666666,20.230588382182248,17.192184375,20.5735641905763,21.08367941031131,22.01383838034426,13.286999999999999,17.897,24.459999999999997,23.4900945240255,6.704428571428571,46.931
2018-07-05 18:00:00+00:00,1.591,1.0,1.591,1.591,1.591,0.49583333333333335,18,3,7,5,27,0,1,3,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,46.931,33.644,83.173,0.0,5.376375,18.677,10.052,24.673499999999997,54.58266666666663,25.6357457924152,41.87183333333331,27.188562929413294,23.354854166666666,26.94781394104594,21.165593750000003,20.881294447015176,17.254726041666668,20.660948176840435,21.229274648406548,22.10377192499299,-45.339999999999996,-17.086,-23.082499999999996,23.50379464411666,1.591,1.591
2018-07-05 19:00:00+00:00,22.899,4.0,5.72475,8.458,3.772,4.398541666666667,19,3,7,5,27,0,0,3,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,1.591,46.931,33.644,35.472,9.67575,8.32,36.426,26.875999999999998,27.388666666666634,23.308277420979294,42.13699999999998,26.701921271698787,23.039406249999995,27.19839063520561,20.453677083333332,21.25769665471177,17.078455208333335,20.7595639395653,21.091878815073215,22.153917506355402,21.308,14.579,-3.9769999999999968,23.490995114534815,5.72475,0.0
2018-07-05 20:00:00+00:00,20.211000000000002,3.0,6.737000000000001,8.557,4.371,6.0445370370370375,20,3,7,5,27,0,0,3,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,22.899,1.591,46.931,52.010999999999996,13.975125,45.233000000000004,8.16,36.091,23.80699999999997,22.683633924043118,40.04149999999998,27.800340629208126,24.141343749999994,26.873674504475808,21.06113541666667,21.103636294980284,16.796642708333334,20.58239044781741,21.068206196025596,22.14982429875597,-2.687999999999999,-25.022000000000002,-15.879999999999999,23.490649524859084,6.737000000000001,0.0
2018-07-05 21:00:00+00:00,11.831,2.0,5.9155,6.161,5.67,3.035555555555556,21,3,7,5,27,0,0,3,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,20.211000000000002,22.899,1.591,83.173,0.0,13.364,16.5825,8.108,14.900333333333302,11.604313910496094,34.74149999999998,28.09175856189854,24.66099999999999,26.719065855336655,20.018552083333333,20.46600135607048,17.047705208333333,20.548270166846887,20.973682386501782,22.11919358911553,-8.380000000000003,-1.5330000000000013,3.722999999999999,23.488736077061613,5.9155,0.0
2018-07-05 22:00:00+00:00,12.407,1.0,12.407,12.407,12.407,1.9419444444444445,22,3,7,5,27,0,0,3,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,11.831,20.211000000000002,22.899,33.644,0.0,28.84,25.005,16.116,18.313666666666634,5.772786271232733,22.851166666666646,15.9795816768358,25.64691666666666,25.933083259729443,19.954677083333333,20.49005155208796,16.948715625000002,20.561999328588403,20.9958431007875,22.108088778219813,0.5760000000000005,-16.433,-3.7089999999999996,23.48193856331406,12.407,0.0
2018-07-05 23:00:00+00:00,35.236999999999995,3.0,11.745666666666665,16.218,4.162,4.017222222222222,23,3,7,5,27,0,0,3,-0.25881904510252157,0.9659258262890681,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,12.407,11.831,20.211000000000002,46.931,0.0,22.311,42.514,24.124,14.816333333333299,4.680786828443817,19.311666666666646,15.454204329782442,26.680833333333325,25.049906796536202,19.26996875,20.45476190326741,16.686257291666667,20.53736624803628,20.97376571983512,22.11484191603575,22.829999999999995,12.925999999999995,11.112999999999996,23.47548463641236,11.745666666666665,0.0
2018-07-06 00:00:00+00:00,51.421,5.0,10.2842,16.392,3.273,4.51138888888889,0,4,7,6,27,0,0,3,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,35.236999999999995,12.407,11.831,1.591,0.0,15.782,8.761000000000001,18.604,19.824999999999964,13.350290333921569,17.362666666666644,11.507903539162394,29.617249999999995,23.66498514731684,19.808552083333336,20.70693438949925,16.534653125000002,20.368819997984158,21.039914529358928,22.14092610542582,16.184000000000005,35.638999999999996,32.817,23.48233467448084,10.2842,0.0
2018-07-06 01:00:00+00:00,25.012,4.0,6.253,9.548,3.225,1.8179861111111113,1,4,7,6,27,0,0,3,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,51.421,35.236999999999995,12.407,22.899,35.472,9.84,88.255,13.084,33.021666666666626,19.601117961313662,25.667666666666648,15.228563092644901,33.902333333333324,22.438249584676658,21.293510416666667,21.66151199429443,17.423403125,20.944957429779592,21.235253815073214,22.26373059431484,-26.409,15.172,11.928,23.498596994227942,6.253,0.0
